Topic:,Problem: ,Done [yes or no] ,,,
Dynamic Programming,Longest subsequence such that difference between adjacent is one,yes,"same strategy if (abs(a[i - a[j]) == 1 then dp[i] = max(dp[j]+1 , dp[i])",-a[j,] =
Dynamic Programming,Maximum subsequence sum such that no three are consecutive,yes ,"simpel output[i] = max(output[i-2] + arr[i], output[i-1]) and lat last return outpur[n-1]",,
Dynamic Programming,Egg Dropping Problem,<->,,,
Dynamic Programming,Maximum Length Chain of Pairs,yes,same trick,,
Dynamic Programming,Maximum size square sub-matrix with all 1s,yes ,trick : pehle sab 0 ko 0 se  map karo then fill the border row and column as it is,,
Dynamic Programming,Maximum sum of pairs with specific difference,yes,if(diff < k) then sum+=arr[i]+arr[i+1],,
Dynamic Programming,Min Cost PathProblem,yes,"slight variation of gold miners problem dp[i][j] = max(dp[i][j], mat[i][j], dp[i+1][j+1])   i+1 hamesha rahega , j+1 : jaha change karna hai",,
Dynamic Programming,Maximum difference of zeros and ones in binary string,yes,"agar 1 hai to use max(0,dp[-1]-1) kaor aur agar 0 hai to dp[i-1]+1 karo",,
Dynamic Programming,Minimum number of jumps to reach end,<->,,,
Dynamic Programming,Minimum cost to fill given weight in a bag,yes,variation if kanpsack,,
Dynamic Programming,Minimum removals from array to make max –min <= K,<->,,,
Dynamic Programming,Longest Common Substring,yes,subsequence ka ulat isme top down approach lagayenge aur if s1[i]!=s2[j] then dp[i][j]=0,,
Dynamic Programming,Count number of ways to reacha given score in a game,yes ,"variatiion of coin  change problem return dp[m][n] = solve(S,m,n-S[m]) + solve(S,m-1,n);",,
Dynamic Programming,Count Balanced Binary Trees of Height h,<->,,,
Dynamic Programming,LargestSum Contiguous Subarray [V>V>V>V IMP ],yes,agar positive hai to mai tere me judna chahunga,,
Dynamic Programming,Smallest sum contiguous subarray,yes,kadane ka ulta,,
Dynamic Programming,Unbounded Knapsack (Repetition of items allowed),yes,slight variation of knapsack just include the included wt,,
Dynamic Programming,Word Break Problem,yes,"abcd me a ko search kiya aur bcd ko recursion me bheja , loginc: if(f==1 and solve(s.substr(i,l-i),B)==1)",,
Dynamic Programming,Largest Independent Set Problem,<->,,,
Dynamic Programming,Partition problem,<->,,,
Dynamic Programming,Longest Palindromic Subsequence,yes,"same as longest common substring yaha s1=s, s2=revese(s)",,
Dynamic Programming,Count All Palindromic Subsequence in a given String,yes,,,
Dynamic Programming,Longest Palindromic Substring,yes,similar as longest common substring but did a little change when calculating max also check the string formed by it is palindrome then only update the ma,,
Dynamic Programming,Longest alternating subsequence,yes,"trick : use switch variable f and if(f==1){
		        if(nums[i] > nums[i-1]){
		            dp[i] = dp[i-1] + 1;
		            f=0;
		        }
		        else
		        dp[i] = dp[i-1];
		        }",,
Dynamic Programming,Weighted Job Scheduling,<->,,,
Dynamic Programming,Coin game winner where every player has three choices,<->,,,
Dynamic Programming,Count Derangements (Permutation such that no element appears in its original position) [ IMPORTANT ],yes,jbk,c[n] = (n-1)*(c[n-1]+c[n-2]),
Dynamic Programming,Maximum profit by buying and selling a share at most twice [ IMP ],<->,countDer(n) = (n - 1) * [countDer(n - 1) + countDer(n - 2)],,
Dynamic Programming,Optimal Strategy for a Game,yes,"agar maine i udhaya to mujhe min dp[i+1][j], dp[i+2][j]) milega kyunku dusra player bhii optimally khel rha hai","int v1 = arr[i] + min(dp[i+1][j-1], dp[i+2][j]);
                int v2 = arr[j] + min(dp[i][j-2], dp[i+1][j-1]);
                dp[i][j] = max(v1, v2);",
Dynamic Programming,Optimal Binary Search Tree,<->,,,
Dynamic Programming,Palindrome PartitioningProblem,<->,,,
Dynamic Programming,Word Wrap Problem,<->,,,
Dynamic Programming,Mobile Numeric Keypad Problem [ IMP ],yes,simple pehle dp[0][j] me 0 and dp[1][j] me 1 store fir correspondingly dp[i][j] =  dp[i-1][jo num press kar sakte hai],,
Dynamic Programming,Boolean Parenthesization Problem,yes,,,
Dynamic Programming,Largest rectangular sub-matrix whose sum is 0,<->,,,
Dynamic Programming,Largest area rectangular sub-matrix with equal number of 1’s and 0’s [ IMP ],<->,,,
Dynamic Programming,Maximum sum rectangle in a 2D matrix,yes,done by adding corresponding elements of row starting and finding max sum subarray,,
Dynamic Programming,Maximum profit by buying and selling a share at most k times,yes,"kth din ka profit maximum(ek din pehle hi agar k transaction ho gaye ho uska value, ek din pehle i-1 transaction hue ho + uss din max of wo din ka transaction - usse pehle ka transaction",,
Dynamic Programming,Find if a string is interleaved of two other strings,yes,"if(n-1>=0 and A[n-1] == C[len-1])
         a=solve(A,B,C,n-1,m,len-1);
        if(m-1>=0 and B[m-1] == C[len-1])
         b=solve(A,B,C,n,m-1,len-1);",,
Dynamic Programming,Maximum Length of Pair Chain,yes,"trick : for(int i=1;i<n;i++){
            for(int j=0;j<i;j++){
                if(pairs[j][1] < pairs[i][0]){
                    dp[i] = max(dp[i], dp[j] + 1);
                }
            }
        }",i ka loop fir j ka loop,
,,,,,
,,,,,
Bit Manipulation,Count set bits in an integer,yes,__builtin_popcount(n),,
Bit Manipulation,Find the two non-repeating elements in an array of repeating elements,yes,,,
Bit Manipulation,Count number of bits to be flipped to convert A to B,yes,__builtin_popcount(a xor b),,
Bit Manipulation,Count total set bits in all numbers from 1 to n,yes,"let x be the highest power that is <= n then, ans = 2^(x-1)*x + n-2^(x)+1 + solve(n-2^(x))",,
Bit Manipulation,Program to find whether a no is power of two,yes,find power of 2 by log2 trick,catch: take special case for 0,
Bit Manipulation,Find position of the only set bit,yes,agar only 1 bit set hai to wo 2 ka power hoga,,
Bit Manipulation,Copy set bits in a range,<->,,,
Bit Manipulation,"Divide two integers without using multiplication, division and mod operator",<->,,,
Bit Manipulation,"Calculate square of a number without using *, / and pow()",<->,,,
Bit Manipulation,Power Set,yes,used bitset<16> b,,
,,,,,
,,,,,
Miscellaneous,Stock buy and sell,graph jab jab inc ho tabhi profit banane ka,,,
